Command,RegisterAddress,Timestamp,DataElement0
2,10,2071880.671488,225
1,32,2071880.671520,1
3,34,2071880.670656,1647,6389,5119,5,36,18,-547,235,-19,5
1,0,2071880.672544,1056
1,33,2071880.673504,0
1,1,2071880.674496,1
1,34,2071880.675488,1647,6389,5119,5,36,18,-547,235,-19,5
1,2,2071880.676480,1
3,34,2071880.675776,1710,6379,5022,-2,74,33,-547,235,-19,6
1,35,2071880.677536,147
1,3,2071880.678496,0
1,36,2071880.679488,0
1,4,2071880.680480,1
3,37,2071880.681120,1
1,37,2071880.681504,1
3,34,2071880.680672,1630,6395,5105,-1,75,47,-542,236,-22,7
1,5,2071880.682560,4
1,38,2071880.683488,1
1,6,2071880.684480,1
1,39,2071880.685504,0
1,7,2071880.686496,3
3,34,2071880.685760,1615,6371,5178,-2,-7,47,-542,236,-22,8
1,40,2071880.687488,1
1,8,2071880.688480,2071880
1,41,2071880.689504,0
1,9,2071880.690496,21578
1,42,2071880.691488,0
3,34,2071880.690656,1616,6375,5143,-35,-69,44,-546,232,-20,9
1,10,2071880.692544,225
1,43,2071880.693504,15
1,11,2071880.694496,128
1,44,2071880.695488,0
1,12,2071880.696480,87,101,97,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,34,2071880.695776,1648,6387,5099,-62,-9,54,-546,232,-20,10
1,45,2071880.697504,100
